,,,,,,,,Undiscounted,,,,,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fixed,,Float CMS,,MACS,,,,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,-1639019.212,49.038356,50.038356,,"-1,639,019.21",-816939.3453,0.00,0,1599593.813,0.015995938,,0.015995938,1599593.821,,0.00762454,,,0.49843183,-816939.3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,0,0,0,1761889.444,49.027397,50.038356,,0.00,0,"1,761,889.44",878181.7799,1602725.01,0.01602725,,0.01602725,1602724.99,,0.01970573,,,0.49843183,878181.7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,-1639019.212,48.038356,49.038356,,"-1,639,019.21",-828386.5935,0.00,0,1603811.738,0.016038117,,0.016052438,1605243.805,,1432.067418,,,0.505416036,-828386.5935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,0,0,0,1754913.052,48.027397,49.038356,,0.00,0,"1,754,913.05",886961.1988,1604571.341,0.016045713,,0.016106899,1610689.861,,6118.51973,,,0.505416036,886961.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,-1634528.748,47.041096,48.038356,,"-1,634,528.75",-837692.8906,0.00,0,1605243.832,0.016052438,,0.0160813,1608130.03,,2886.197712,,,0.512498108,-837692.8906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,0,0,0,1738353.107,47.030137,48.038356,,0.00,0,"1,738,353.11",890902.678,1612869.608,0.016128696,,0.016130066,1613006.59,,136.9816601,,,0.512498108,890902.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,-1648000.139,46.035616,47.041096,,"-1,648,000.14",-856399.0966,0.00,0,1615567.99,0.01615568,,0.016128696,1612869.621,,2698.369016,,,0.519659602,-856399.0966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,0,0,0,1749724.189,46.030137,47.041096,,0.00,0,"1,749,724.19",909260.9759,1616269.515,0.016162695,,0.016162695,1616269.501,,0.01348991,,,0.519659602,909260.9759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,-1639019.212,45.035616,46.035616,,"-1,639,019.21",-863732.7091,0.00,0,1619627.406,0.016196274,,0.016196274,1619627.352,,0.05471029,,,0.526981443,-863732.7091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0,0,0,1733262.18,45.030137,46.035616,,0.00,0,"1,733,262.18",913397.0041,1620832.098,0.016208321,,0.016221974,1622197.415,,1365.316999,,,0.526981443,913397.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,-1639019.212,44.035616,45.035616,,"-1,639,019.21",-875835.6428,0.00,0,1628068.207,0.016280682,,0.016251857,1625185.667,,2882.539872,,,0.534365696,-875835.6428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0,0,0,1726058.494,44.030137,45.035616,,0.00,0,"1,726,058.49",922346.4494,1631209.688,0.016312097,,0.016278727,1627872.697,,3336.990425,,,0.534365696,922346.4494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,-1643509.676,43.032877,44.035616,,"-1,643,509.68",-890541.3402,0.00,0,1639900.368,0.016399004,,0.016399004,1639900.351,,0.0169887,,,0.541853421,-890541.3402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,0,0,0,1718755.181,43.021918,44.035616,,0.00,0,"1,718,755.18",931313.3748,1647184.964,0.01647185,,0.016520475,1652047.544,,4862.580046,,,0.541853421,931313.3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,-1634528.748,42.035616,43.032877,,"-1,634,528.75",-898119.6207,0.00,0,1654539.448,0.016545394,,0.016595509,1659550.906,,5011.457483,,,0.549467008,-898119.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
